City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,kapa'a,22.0752,-159.319,27.18,70,0,6.69,US,2024-09-15 04:27:20
131,isafjordur,66.0755,-23.124,2.83,78,93,5.26,IS,2024-09-15 04:27:22
132,avarua,-21.2078,-159.775,24.03,73,75,3.6,CK,2024-09-15 04:27:23
133,mitu,1.1983,-70.1733,23.89,73,0,0.52,CO,2024-09-15 04:27:24
134,dondo,-19.6094,34.7431,20.73,83,2,2.44,MZ,2024-09-15 04:27:25
135,olonkinbyen,70.9221,-8.7187,1.32,72,100,8.0,SJ,2024-09-15 04:27:26
136,gorazde,43.6669,18.9764,9.69,90,100,1.42,BA,2024-09-15 04:27:27
137,namibe,-15.1961,12.1522,17.78,87,15,2.5,AO,2024-09-15 04:27:28
138,yurga,55.7231,84.8861,7.02,70,7,5.02,RU,2024-09-15 04:27:30
139,winkler,49.1817,-97.941,20.1,88,100,0.51,CA,2024-09-15 04:27:31
140,tweed heads,-28.1817,153.547,22.02,64,24,9.26,AU,2024-09-15 04:27:32
141,kerikeri,-35.2268,173.9474,17.17,60,1,4.02,NZ,2024-09-15 04:27:33
142,puerto baquerizo moreno,-0.9,-89.6,21.14,88,74,4.52,EC,2024-09-15 04:27:34
143,marshall,34.3834,-86.3333,23.33,80,100,4.63,US,2024-09-15 04:27:35
144,ust'-ilimsk,58.0006,102.6619,3.34,95,97,4.9,RU,2024-09-15 04:27:36
145,pizarro,4.9533,-77.366,25.87,89,62,1.24,CO,2024-09-15 04:27:37
146,vila franca do campo,37.7167,-25.4333,20.23,87,4,1.65,PT,2024-09-15 04:27:38
147,vallenar,-28.5708,-70.7581,14.16,64,0,0.94,CL,2024-09-15 04:27:39
148,acarau,-2.8856,-40.12,24.75,84,14,7.16,BR,2024-09-15 04:23:35
149,arawa,-6.2132,155.5367,29.45,72,90,2.43,PG,2024-09-15 04:27:41
150,una,20.8167,71.0333,28.14,67,71,3.8,IN,2024-09-15 04:27:43
151,hermosillo,29.0667,-110.9667,31.95,72,0,4.63,MX,2024-09-15 04:27:44
152,the pas,53.8251,-101.2541,14.01,77,20,3.09,CA,2024-09-15 04:27:45
153,shalqar,47.8333,59.6,18.61,47,5,6.94,KZ,2024-09-15 04:27:46
154,zhob,31.3411,69.4481,24.62,44,0,2.44,PK,2024-09-15 04:27:47
155,sidney,-33.8679,151.2073,17.28,50,40,15.95,AU,2024-09-15 04:27:00
156,lihue,21.9789,-159.3672,26.77,71,0,6.69,US,2024-09-15 04:27:49
157,merizo village,13.2658,144.6691,29.31,89,100,3.53,GU,2024-09-15 04:27:50
158,bardai,11.65,7.2333,21.79,82,54,2.89,NG,2024-09-15 04:27:51
159,isla mujeres,21.2311,-86.731,28.03,82,31,3.57,MX,2024-09-15 04:27:52
160,arno,60.1167,18.6333,10.02,78,1,4.07,SE,2024-09-15 04:27:53
161,glace bay,46.1969,-59.957,14.25,79,75,7.72,CA,2024-09-15 04:27:55
162,port-vila,-17.7338,168.3219,23.78,100,100,4.63,VU,2024-09-15 04:27:56
163,port blair,11.6667,92.75,31.02,74,40,4.12,IN,2024-09-15 04:27:57
164,vila do maio,15.1333,-23.2167,26.39,68,88,3.61,CV,2024-09-15 04:27:58
165,eirunepe,-6.6603,-69.8736,29.18,34,39,1.1,BR,2024-09-15 04:27:59
166,rouissat,31.9243,5.3502,25.04,57,40,5.66,DZ,2024-09-15 04:28:00
167,hede,33.7681,120.2517,25.4,88,100,6.35,CN,2024-09-15 04:28:01
168,utrik,11.2278,169.8474,28.46,80,100,8.13,MH,2024-09-15 04:28:02
169,udachny,66.4167,112.4,2.32,73,89,7.26,RU,2024-09-15 04:28:03
170,pandan,14.0453,124.1694,29.42,75,98,6.61,PH,2024-09-15 04:28:04
171,east ballina,-28.8667,153.5833,18.29,69,27,8.63,AU,2024-09-15 04:28:05
172,san jose de jachal,-30.2406,-68.7469,13.82,38,0,1.3,AR,2024-09-15 04:28:07
173,mejit,10.2753,170.8646,28.08,82,100,7.74,MH,2024-09-15 04:28:08
174,knyaze-volkonskoye,48.4642,135.4567,19.19,49,56,5.32,RU,2024-09-15 04:28:09
175,sinabang,2.4803,96.3801,30.02,63,54,0.78,ID,2024-09-15 04:28:10
176,cascais,38.6979,-9.4215,21.98,61,72,0.45,PT,2024-09-15 04:28:11
177,port mathurin,-19.6833,63.4167,20.64,62,83,11.29,MU,2024-09-15 04:28:12
178,dudinka,69.4058,86.1778,4.36,57,77,3.88,RU,2024-09-15 04:28:13
